query_id,workflow,quality_level,video_size_mb,video_duration_sec,fps,sla_sec
workflow1_Q1_q0000,workflow1,Q1,11.305036232501145,67.83021739500687,30.0,43.82893436982982
workflow1_Q1_q0001,workflow1,Q1,159.24250921374147,955.4550552824488,30.0,74.62767304072406
workflow1_Q1_q0002,workflow1,Q1,206.4133458156752,1238.480074894051,30.0,85.57123536467346
workflow1_Q1_q0003,workflow1,Q1,18.58611384729783,111.516683083787,30.0,46.95302610777121
workflow1_Q1_q0004,workflow1,Q1,126.3931116904825,758.358670142895,30.0,70.15714299795212
workflow1_Q1_q0005,workflow1,Q1,269.7341156012721,1618.4046936076325,30.0,99.44618757234159
workflow1_Q1_q0006,workflow1,Q1,204.76771456819904,1228.6062874091942,30.0,87.9287175001348
workflow1_Q1_q0007,workflow1,Q1,78.92092537457322,473.52555224743935,30.0,59.4660488042518
workflow1_Q1_q0008,workflow1,Q1,257.3065275932547,1543.839165559528,30.0,96.83134769114713
workflow1_Q1_q0009,workflow1,Q1,110.92911278875916,665.574676732555,30.0,67.2754552745418
workflow1_Q1_q0010,workflow1,Q1,257.4699546317772,1544.8197277906634,30.0,94.74103633305226
workflow1_Q1_q0011,workflow1,Q1,96.6936588244826,580.1619529468957,30.0,60.24343549136565
workflow1_Q1_q0012,workflow1,Q1,181.1928727561132,1087.1572365366792,30.0,81.1268304629452
workflow1_Q1_q0013,workflow1,Q1,125.11261964687188,750.6757178812313,30.0,69.23695925780906
workflow1_Q1_q0014,workflow1,Q1,89.69926471896943,538.1955883138166,30.0,61.41516211754706
workflow1_Q1_q0015,workflow1,Q1,267.10169302984207,1602.6101581790524,30.0,99.58755200286859
workflow1_Q1_q0016,workflow1,Q1,64.40216776245249,386.4130065747149,30.0,53.48599983154987
workflow1_Q1_q0017,workflow1,Q1,34.59536145837129,207.57216875022772,30.0,49.45535983112125
workflow1_Q1_q0018,workflow1,Q1,109.15881217824152,654.9528730694491,30.0,67.20848020743259
workflow1_Q1_q0019,workflow1,Q1,218.11535281605452,1308.6921168963274,30.0,90.00989914580197
workflow1_Q1_q0020,workflow1,Q1,244.1551657331217,1464.9309943987305,30.0,91.2431374638118
workflow1_Q1_q0021,workflow1,Q1,299.6355773193618,1797.8134639161708,30.0,106.32489149276749
workflow1_Q1_q0022,workflow1,Q1,95.94499653323784,575.669979199427,30.0,58.82055422797323
workflow1_Q1_q0023,workflow1,Q1,128.30316582807183,769.818994968431,30.0,68.0452066888593
workflow1_Q1_q0024,workflow1,Q1,49.67817062859162,298.0690237715497,30.0,50.43302690208652
workflow1_Q1_q0025,workflow1,Q1,176.71285959067973,1060.2771575440784,30.0,78.47219674751574
workflow1_Q1_q0026,workflow1,Q1,299.298210806246,1795.789264837476,30.0,108.36840989962995
workflow1_Q1_q0027,workflow1,Q1,213.2554929349909,1279.5329576099457,30.0,88.38712316556591
