endpoint_id,logical_operation,provider,region,quality_level,model_name,base_latency_sec,latency_per_mb,fixed_cost,cost_per_mb,storage_cost_per_mb,is_virtual
client_source,ClientSource,client,local,Q1,,0.0,0.0,0.0,0.0,0.0,True
client_sink,ClientSink,client,local,Q1,,0.0,0.0,0.0,0.0,0.0,True
shot_detection_gcp_us-east1_q1,Shot Detection,GCP,us-east1,Q1,,22.930167891157904,0.11707280207142878,0.0,0.005,6.510416666666666e-07,False
shot_detection_gcp_us-west1_q1,Shot Detection,GCP,us-west1,Q1,,20.985163859578318,0.11707280207142878,0.0,0.005,6.510416666666666e-07,False
shot_detection_gcp_europe-west1_q1,Shot Detection,GCP,europe-west1,Q1,,17.71669384904041,0.11707280207142878,0.0,0.005,6.510416666666666e-07,False
shot_detection_gcp_asia-east1_q1,Shot Detection,GCP,asia-east1,Q1,,23.735770624919326,0.11707280207142878,0.0,0.005,6.510416666666666e-07,False
shot_detection_aws_us-west-2_q1,Shot Detection,AWS,us-west-2,Q1,,26.24949835502856,0.11707280207142878,0.0,0.005,7.486979166666667e-07,False
shot_detection_aws_us-east-2_q1,Shot Detection,AWS,us-east-2,Q1,,15.197501163195616,0.11707280207142878,0.0,0.005,7.486979166666667e-07,False
shot_detection_aws_ap-southeast-1_q1,Shot Detection,AWS,ap-southeast-1,Q1,,24.18820642889736,0.11707280207142878,0.0,0.00675,8.138020833333334e-07,False
shot_detection_aws_eu-central-1_q1,Shot Detection,AWS,eu-central-1,Q1,,20.805517348952872,0.11707280207142878,0.0,0.006,7.975260416666667e-07,False
shot_detection_aliyun_cn-shanghai_q1,Shot Detection,Aliyun,cn-shanghai,Q1,,20.98203452155063,0.11707280207142878,0.0,0.003,5.631510416666666e-07,False
shot_detection_gcp_us-east1_q2,Shot Detection,GCP,us-east1,Q2,,19.108473242631586,0.09756066839285732,0.0,0.005,6.510416666666666e-07,False
shot_detection_gcp_us-west1_q2,Shot Detection,GCP,us-west1,Q2,,17.4876365496486,0.09756066839285732,0.0,0.005,6.510416666666666e-07,False
