video_id,filename,video_path,size_bytes,duration_sec,fps,shot_provider,shot_count,raw_shot_count,dropped_short_shot_count,min_shot_duration_ms,samples_per_shot,expected_frame_count,shot_result_path
-ZBsdK10Trs,-ZBsdK10Trs.mp4,/Users/heng/Movies/videos_sampled/-ZBsdK10Trs.mp4,12812931,49.272744,29.97002997002997,aliyun_cn_shanghai,8,9,1,500,3,24,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/-ZBsdK10Trs.json
03JdaRepHkA,03JdaRepHkA.mp4,/Users/heng/Movies/videos_sampled/03JdaRepHkA.mp4,48810307,123.4563,29.97002997002997,aliyun_cn_shanghai,38,40,2,500,3,114,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/03JdaRepHkA.json
0vQs3ztG7vg,0vQs3ztG7vg.mp4,/Users/heng/Movies/videos_sampled/0vQs3ztG7vg.mp4,2109703,37.918186,30.0,aliyun_cn_shanghai,1,2,1,500,3,3,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/0vQs3ztG7vg.json
5c8HvpeRWrc,5c8HvpeRWrc.mp4,/Users/heng/Movies/videos_sampled/5c8HvpeRWrc.mp4,2072930,40.7278,30.0,aliyun_cn_shanghai,1,2,1,500,3,3,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/5c8HvpeRWrc.json
8OEts-YLeW0,8OEts-YLeW0.mp4,/Users/heng/Movies/videos_sampled/8OEts-YLeW0.mp4,5749063,57.353288,25.0,aliyun_cn_shanghai,1,2,1,500,3,3,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/8OEts-YLeW0.json
8QEG_1GhoEc,8QEG_1GhoEc.mp4,/Users/heng/Movies/videos_sampled/8QEG_1GhoEc.mp4,35784853,148.050431,24.0,aliyun_cn_shanghai,5,6,1,500,3,15,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/8QEG_1GhoEc.json
95UgspVYJSM,95UgspVYJSM.mp4,/Users/heng/Movies/videos_sampled/95UgspVYJSM.mp4,11623480,46.556009,30.0,aliyun_cn_shanghai,3,4,1,500,3,9,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/95UgspVYJSM.json
9hE6VRD3qXQ,9hE6VRD3qXQ.mp4,/Users/heng/Movies/videos_sampled/9hE6VRD3qXQ.mp4,20483488,177.098594,30.0,aliyun_cn_shanghai,4,5,1,500,3,12,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/9hE6VRD3qXQ.json
AUPs7Ukfc1I,AUPs7Ukfc1I.mp4,/Users/heng/Movies/videos_sampled/AUPs7Ukfc1I.mp4,4667627,136.277914,30.0,aliyun_cn_shanghai,2,3,1,500,3,6,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/AUPs7Ukfc1I.json
Bh8RcPBQjxo,Bh8RcPBQjxo.mp4,/Users/heng/Movies/videos_sampled/Bh8RcPBQjxo.mp4,1265313,10.44898,12.170385395537526,aliyun_cn_shanghai,2,3,1,500,3,6,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/Bh8RcPBQjxo.json
Hn3-SRXssY4,Hn3-SRXssY4.mp4,/Users/heng/Movies/videos_sampled/Hn3-SRXssY4.mp4,23860465,213.043084,29.97002997002997,aliyun_cn_shanghai,36,37,1,500,3,108,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/Hn3-SRXssY4.json
JDM9Akcs96g,JDM9Akcs96g.mp4,/Users/heng/Movies/videos_sampled/JDM9Akcs96g.mp4,597588,14.001633,13.428,aliyun_cn_shanghai,1,2,1,500,3,3,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/JDM9Akcs96g.json
KwBuRjh_v9M,KwBuRjh_v9M.mp4,/Users/heng/Movies/videos_sampled/KwBuRjh_v9M.mp4,34350232,87.28,25.0,aliyun_cn_shanghai,7,8,1,500,3,21,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/KwBuRjh_v9M.json
LAicExwwM54,LAicExwwM54.mp4,/Users/heng/Movies/videos_sampled/LAicExwwM54.mp4,53257943,212.810884,25.0,aliyun_cn_shanghai,12,13,1,500,3,36,/Users/heng/Documents/skybridge/pro/experiments/shot_detection_profile/final_50_seed20260622/aliyun_cn_shanghai/LAicExwwM54.json
